7460,403151,NEWENTRY,-0,-0,-0,-0,-0,Record to support submission of GeneRIFs for a gene not in Gene (Apis mellifica; European honey bee; Western honey bee; bee; honey bee; honeybee).,other,-0,-0,-0,-0,20170902,-0
7460,406065,Wat,-0,Amwat|GB15790,BEEBASE:GB47934,LG15,-0,worker-enriched antennal transcript,protein-coding,-0,-0,-0,uncharacterized protein LOC406065,20170408,-0
7460,406066,Jhe,-0,Dpa1|Est|GB15327,BEEBASE:GB53755,LG3,-0,juvenile hormone esterase,protein-coding,-0,-0,-0,juvenile hormone esterase|drone-preferential antennal protein-1,20170408,-0
7460,406067,Mrjp8,-0,GB14639,BEEBASE:GB55214,LG11,-0,major royal jelly protein 8,protein-coding,-0,-0,-0,major royal jelly protein 8,20170408,-0
7460,406068,Oa1,-0,GB11266|Oar,BEEBASE:GB52910,LG15,-0,octopamine receptor,protein-coding,-0,-0,-0,octopamine receptor|octopamine receptor 1,20170408,-0
7460,406070,DopR2,-0,Dop2|GB17921,-0,LG15,-0,dopamine receptor 2,protein-coding,-0,-0,-0,dopamine receptor 2|dopamine receptor type D2,20170402,-0
7460,406071,Gat-a,-0,GB19372|NT-1,BEEBASE:GB54918,LG1,-0,GABA neurotransmitter transporter-1A,protein-coding,-0,-0,-0,GABA neurotransmitter transporter-1A|neurotransmitter transporter 1,20170408,-0
7460,406072,Amih,-0,GB18118,BEEBASE:GB47876,LG8,-0,hyperpolarization-activated ion channel,protein-coding,-0,-0,-0,hyperpolarization-activated ion channel,20170923,-0
7460,406073,LOC406073,-0,Pros,BEEBASE:GB55032,LG5,-0,homeobox protein prospero,protein-coding,-0,-0,-0,homeobox protein prospero|prospero,20170408,-0
7460,406074,Csd,-0,GB11167,BEEBASE:GB47022,LG8,8,complementary sex determiner,protein-coding,-0,-0,-0,complementary sex determiner,20170408,-0
7460,406075,Ant,-0,GB17499,BEEBASE:GB42422,LG7,-0,ADP/ATP translocase,protein-coding,-0,-0,-0,ADP/ATP translocase,20180127,-0
7460,406076,Vha16,-0,GB19405,BEEBASE:GB46031,LG6,-0,vacuolar H+ ATP synthase 16 kDa proteolipid subunit,protein-coding,-0,-0,-0,vacuolar H+ ATP synthase 16 kDa proteolipid subunit,20170923,-0
7460,406077,Antp,-0,GB18813,BEEBASE:GB51292,LG16,-0,homeotic protein antennapedia,protein-coding,-0,-0,-0,homeobox protein H90|antennapedia,20180127,-0
7460,406078,Tsf1,-0,GB19745|Trf,BEEBASE:GB50226,LG15,-0,transferrin 1,protein-coding,-0,-0,-0,transferrin 1,20170408,-0
